name,quadrant,ring,isNew,description,ITR BE,ITR NL,FM,inRadar,
Fastlane,Tooling en testing,Assess,TRUE,CI/ CD for Mobile Apps (builds -> release),,,,Y,
eXtreme Programming,Technieken,Adopt,TRUE,methodiek om samen te werken,,X,,N,
Firebase,"Platforms, infrastructure & Data",Assess,TRUE,Google - Platform for building Frontend & Mobile Apps (incl. backend/ digital services),,,X,Y,
Flutter / Dart,"Frameworks, CMS & Programmeertalen",Assess,TRUE,Cross Native Mobile App Framework,X,,X,Y,
Gatsby,"Frameworks, CMS & Programmeertalen",Trial,TRUE,React based Frontend & CMS Framework supported by GraphQL,X,X,X,Y,
Google Cloud Platform - Cloud Functions,"Frameworks, CMS & Programmeertalen",Assess,TRUE,,,,X,Y,
Google Cloud Platform - GKE,"Platforms, infrastructure & Data",Trial,TRUE,Google Kubernetes Engine,,X,X,Y,
Gitflow,Technieken,Adopt,TRUE,,X,X,X,Y,
Github,Tooling en testing,Adopt,TRUE,Git Repo with CI/ CD options,X,X,X,N,
Gitlab,Tooling en testing,Adopt,TRUE,Git Repo with CI/ CD options,X,X,X,N,
Gitlab CI,Tooling en testing,Trial,TRUE,,X,X,,N,
Gophish,Tooling en testing,Assess,TRUE,Phishing attack software,,X,,Y,
Grafana,Tooling en testing,Assess,TRUE,Dashboarding Tool for e.g. Databases,,,X,Y,
GraphQL (Apollo),"Frameworks, CMS & Programmeertalen",Adopt,TRUE,RESTfull API alternative,,,X,Y,
Greensock,"Frameworks, CMS & Programmeertalen",Trial,TRUE,,X,,,Y,
GrumPHP,Tooling en testing,Adopt,TRUE,,X,,,Y,
Grunt,Tooling en testing,Hold,TRUE,,X,X,X,Y,
Gulp,Tooling en testing,Hold,TRUE,,X,X,,Y,
Hubspot (CMS),"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,,,N,
IAM,Technieken,Adopt,TRUE,,,X,,Y,
IBM Watson,"Platforms, infrastructure & Data",Assess,TRUE,"AI Driven Platform with prebuild services (e.g. TTS, NLP etc.)",,,X,Y,
IIS,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,,Y,
Infrastructure as code,"Platforms, infrastructure & Data",Trial,TRUE,,,X,,Y,
Ionic Framework,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,"Hybrid Framework for Mobile (cordova), Frontend (incl. PWA) and Desktop (electron) for multiple Frameworks",,,X,Y,
ISO 25001,Technieken,Trial,TRUE,,,X,,Y,
ISO 27001,Technieken,Adopt,TRUE,,,X,,Y,
Jasmine,Tooling en testing,Adopt,TRUE,JS BDD Testing,,,X,Y,
JavaScript,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,X,N,
Jenkins,Tooling en testing,Hold,TRUE,CI/ CD Tooling,,X,,Y,
Jest,Tooling en testing,Adopt,TRUE,JS Testing Framework,X,,X,Y,
JIRA,Tooling en testing,Adopt,TRUE,,X,X,X,N,
jMeter,Tooling en testing,Adopt,TRUE,User scenarios frontend testing,,X,,Y,
jQuery,"Frameworks, CMS & Programmeertalen",Hold,TRUE,JS Framework for DOM manipulation,X,X,X,Y,
Jumpcloud,Tooling en testing,Adopt,TRUE,,,,,Y,
JWT,Technieken,Adopt,TRUE,JSON Web Tokens,,,X,Y,
Kanban,Technieken,Adopt,TRUE,,X,,,N,
Karma,Tooling en testing,Adopt,TRUE,JS Testing Framework,,,X,Y,
Katalon,Tooling en testing,Trial,TRUE,Interface testing,,X,,Y,
Kubernetes,Tooling en testing,Trial,TRUE,"Container orchistration engine (native, GKE and AWS EKS)",X,X,X,Y,
Lando,"Platforms, infrastructure & Data",Trial,TRUE,,,X,,Y,
Laravel,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,,X,,Y,
Lerna,Tooling en testing,Trial,TRUE,A tool for managing JavaScript projects with multiple packages,,,X,Y,
Less,"Frameworks, CMS & Programmeertalen",Hold,TRUE,CSS Pre-processor,X,,,N,
Lit Element,"Frameworks, CMS & Programmeertalen",Assess,TRUE,"A simple base class for creating fast, lightweight web components",,,X,Y,
Lit-html,"Frameworks, CMS & Programmeertalen",Assess,TRUE,"An efficient, expressive, extensible HTML templating library for JavaScript",,,X,Y,
Locust (Performance test),Tooling en testing,Assess,TRUE,Lightweight performance testing tool,,,X,Y,
Magento,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,X,X,,Y,
Marionette JS,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,X,,X,Y,
Matomo,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Opensource google analytics alternatief (voorheen piwik),,X,,N,
Memcache,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,,Y,
Metabase,Tooling en testing,Trial,TRUE,reporting tool,,X,,Y,
Metasploit,Tooling en testing,Trial,TRUE,,,X,,Y,
Micro Frontend Architecture,Technieken,Assess,TRUE,,X,,X,Y,
